['E1-2A<E1-2-11>', 'ffnn', 58.191052631578941]
['W3-3A-1<W3-3-01>', 'ffnn', 2.591799821818308]
['EC-2C-8<EC-1-21>', 'ffnn', 0.82078694476176317]
['E1-2A<E1-2A-02>', 'arima', 0.41868082783490551]
['W3-3A-2<W3-3-02>', 'arima', 23.322249054758458]
['T1-3B-1<T1-3-10>', 'ffnn', 1.3026537053321137]
['EC-2C-9<EC-1-19>', 'arima', 40.978760848031612]
['T1-3B-2<T1-3-14>', 'arima', 3.9300860673500191]
['E1-2A<E1-2A-02>', 'ffnn', 0.43155492275754098]
['W3-3A-2<W3-3-02>', 'ffnn', 30.916717947566159]
['E1-2A<E1-2A-06>', 'arima', 0.88660920630407281]
['EC-2C-9<EC-1-19>', 'ffnn', 27.217007066578564]
['T1-3B-2<T1-3-14>', 'ffnn', 1.6243005356792732]
['W3-3A-3<W3-3-03>', 'arima', 5.2082899434583574]
['EC-2D-1<EC-2-21>', 'arima', 0.90468513079926483]
['T1-3B-3<T1-3-11>', 'arima', 1.6736495152261348]
['E1-2A<E1-2A-06>', 'ffnn', 0.78640786201813351]
['W3-3A-3<W3-3-03>', 'ffnn', 5.2649044659714619]
['E1-2B<E1-2-04>', 'arima', 2.8385213825635511]
['EC-2D-1<EC-2-21>', 'ffnn', 0.89283604917251436]
['T1-3B-3<T1-3-11>', 'ffnn', 3.079881664128127]
['W3-3A-4<W3-3-04>', 'arima', 5.8633426109961215]
['T1-3B-4<T1-3-15>', 'arima', 1.6203979652859986]
['T1-3B-4<T1-3-15>', 'ffnn', 42.423157894736832]
['EC-2D-2<EC-2-22>', 'arima', 0.27834560402007913]
['T1-3B-5<T1-3-12>', 'arima', 2.346451375258686]
['E1-2B<E1-2-04>', 'ffnn', 1.9044796465400478]
['W3-3A-4<W3-3-04>', 'ffnn', 8.3534600746321015]
['E1-2B<E1-2B-02>', 'arima', 0.73331150895616404]
['W3-3A-5<W3-3-05>', 'arima', 14.455084197081506]
['W3-3A-5<W3-3-05>', 'ffnn', 87.743157894736839]
['EC-2D-2<EC-2-22>', 'ffnn', 0.1360369782840509]
['T1-3B-5<T1-3-12>', 'ffnn', 1.9333216746010404]
['W3-3A-6<W3-3-06>', 'arima', 7.7146747225457943]
['T1-3C-1<T1-3-17>', 'arima', 12.994498086675641]
['T1-3C-1<T1-3-17>', 'ffnn', 379.96842105263153]
['EC-2D-3<EC-2-23>', 'arima', 1.2062213537477675]
['E1-2B<E1-2B-02>', 'ffnn', 0.84129584293754289]
['EC-2D-3<EC-2-23>', 'ffnn', 31.528366922675762]
['EC-2D-4<EC-2-24>', 'arima', 0.3726088537987744]
['E1-2B<E1-2B-03>', 'arima', 2.0085864293814986]
['E1-2B<E1-2B-03>', 'ffnn', 53.096315789473671]
['T1-3C-2<T1-3-19>', 'arima', 0.23448851507109]
['T1-3C-2<T1-3-19>', 'ffnn', 207.35631578947365]
['W3-3A-6<W3-3-06>', 'ffnn', 4.5456654117199626]
['E1-2C<E1-2-02>', 'arima', 3.6503315498750535]
['T1-3C-3<T1-3-20>', 'arima', 2.1160261627848884]
['W3-3A-7<W3-3-07>', 'arima', 1.1146799760582689]
['W3-3A-7<W3-3-07>', 'ffnn', 24.750526154332352]
['EC-2D-4<EC-2-24>', 'ffnn', 0.36178080640837146]
['EC-2E-1<EC-2-32>', 'arima', 2.125124386696327]
['EC-2E-1<EC-2-32>', 'ffnn', 107.37052631578949]
['W3-3A-8<W3-3-08>', 'arima', 5.769508284370553]
['W3-3A-8<W3-3-08>', 'ffnn', 122.05210526315788]
['E1-2C<E1-2-02>', 'ffnn', 11.867088728544495]
['T1-3C-3<T1-3-20>', 'ffnn', 0.57453086304737466]
['W3-3A-9<W3-3-09>', 'arima', 15.454237905087469]
['EC-2E-2<EC-2-31>', 'arima', 0.48037762321733829]
['EC-2E-2<EC-2-31>', 'ffnn', 12.407894736842106]
['E1-2C<E1-2-03>', 'arima', 1.666268164179586]
['E1-2C<E1-2-03>', 'ffnn', 93.896842105263161]
['EC-2E-3<EC-2-28>', 'arima', 0.12663806417718904]
['T1-3C-5<T1-3-18>', 'arima', 6.0662909092345485]
['E1-2C<E1-2C-01>', 'arima', 28.372817509999848]
['E1-2C<E1-2C-01>', 'ffnn', 297.58421052631581]
['EC-2E-3<EC-2-28>', 'ffnn', 0.15087535699431248]
['W3-3A-9<W3-3-09>', 'ffnn', 13.261562357596578]
['E1-3A<E1-3-01>', 'arima', 2.566976983435302]
['EC-2E-4<EC-2-30>', 'arima', 0.67229501732094998]
['T1-3C-5<T1-3-18>', 'ffnn', 0.85627437309176158]
['W3-3B-10<W3-3-27>', 'arima', 19.612621825323302]
['T1-3D-1<T1-3-26>', 'arima', 0.95571724484036746]
['E1-3A<E1-3-01>', 'ffnn', 2.3793535876352299]
['EC-2E-4<EC-2-30>', 'ffnn', 0.50192441628639672]
['W3-3B-10<W3-3-27>', 'ffnn', 27.852282339737755]
['E1-3A<E1-3-02>', 'arima', 7.4355504059335651]
['W3-3B-11<W3-3-28>', 'arima', 25.219168211761755]
['T1-3D-1<T1-3-26>', 'ffnn', 0.45702065293682187]
['EC-2E-5<EC-2-29>', 'arima', 0.24989178983362592]
['T1-3D-2<T1-3-31>', 'arima', 1.9390406354551988]
['E1-3A<E1-3-02>', 'ffnn', 13.049534096666006]
['W3-3B-11<W3-3-28>', 'ffnn', 14.999862608894743]
['EC-2E-5<EC-2-29>', 'ffnn', 0.39659420418146923]
['W3-3B-1<W3-3-18>', 'arima', 5.5125910474042659]
['E1-3A<E1-3-03>', 'arima', 26.553752135266567]
['T1-3D-2<T1-3-31>', 'ffnn', 2.3421872728251256]
['EC-2E-6<EC-2-33>', 'arima', 1.3421426638949356]
['T1-3D-3<T1-3-27>', 'arima', 1.7871167901383977]
['W3-3B-1<W3-3-18>', 'ffnn', 6.1575896625452939]
['EC-2E-6<EC-2-33>', 'ffnn', 1.1462365221670918]
['E1-3A<E1-3-03>', 'ffnn', 16.647911628704311]
['W3-3B-2<W3-3-19>', 'arima', 25.896660952224966]
['E1-3A<E1-3-04>', 'arima', 41.131191238524842]
['E1-3A<E1-3-04>', 'ffnn', 671.18315789473661]
['EC-2E<EC-2E-10>', 'arima', 0.91848397291532813]
['T1-3D-3<T1-3-27>', 'ffnn', 2.1622148586181127]
['E1-3A<E1-3-05>', 'arima', 31.525465604355777]
['T1-3D-4<T1-3-32>', 'arima', 0.75999372106468166]
['W3-3B-2<W3-3-19>', 'ffnn', 43.13472855414102]
['EC-2E<EC-2E-10>', 'ffnn', 0.71968659957090197]
['W3-3B-3<W3-3-20>', 'arima', 27.760555415924415]
['E1-3A<E1-3-05>', 'ffnn', 17.691473909243435]
['T1-3D-4<T1-3-32>', 'ffnn', 0.63857186355032602]
['EC-2E<EC-2E-11>', 'arima', 0.24775318967938562]
['E1-3A<E1-3-06>', 'arima', 126.4482547386735]
['T1-3D-5<T1-3-33>', 'arima', 6.3200458663886554]
['W3-3B-3<W3-3-20>', 'ffnn', 19.923033128372907]
['W3-3B-4<W3-3-21>', 'arima', 47.398706703006958]
['EC-2E<EC-2E-11>', 'ffnn', 0.38697067670740826]
['EC-2E<EC-2E-7>', 'arima', 0.14990291546793993]
['E1-3A<E1-3-06>', 'ffnn', 37.504899806665776]
['T1-3D-5<T1-3-33>', 'ffnn', 6.536858224504881]
['E1-3A<E1-3-07>', 'arima', 37.389148056047496]
['T1-3D-6<T1-3-28>', 'arima', 1.2587345323404302]
['T1-3D-6<T1-3-28>', 'ffnn', 229.37789448311622]
['W3-3B-4<W3-3-21>', 'ffnn', 21.618796447392139]
['T1-3D-7<T1-3-30>', 'arima', 1.3072788185532294]
['EC-2E<EC-2E-7>', 'ffnn', 0.1307735041272011]
['W3-3B-5<W3-3-22>', 'arima', 24.112660554485267]
['W3-3B-5<W3-3-22>', 'ffnn', 1423.874718210028]
['EC-2E<EC-2E-8>', 'arima', 0.22836549196388128]
['E1-3A<E1-3-07>', 'ffnn', 19.309502443940602]
['W3-3B-6<W3-3-23>', 'arima', 10.36965162895042]
['T1-3D-7<T1-3-30>', 'ffnn', 1.3116146204415233]
['E1-3A<E1-3-08>', 'arima', 27.935849375020535]
['E1-3A<E1-3-08>', 'ffnn', 351.56263130262613]
['T1-3E-1<T1-3-37>', 'arima', 0.11049483862312813]
['E1-3A<E1-3-09>', 'arima', 19.805331665898176]
['EC-2E<EC-2E-8>', 'ffnn', 0.14815200566546372]
['EC-2E<EC-2E-9>', 'arima', 0.097887928916654501]
['W3-3B-6<W3-3-23>', 'ffnn', 28.360827132309158]
['T1-3E-1<T1-3-37>', 'ffnn', 0.14642838213000733]
['E1-3A<E1-3-09>', 'ffnn', 19.452192892338495]
['W3-3B-7<W3-3-24>', 'arima', 1.9645334711604179]
['T1-3E-2<T1-3-38>', 'arima', 2.1679785534127047]
['EC-2E<EC-2E-9>', 'ffnn', 0.071673410970465201]
['E1-3B<E1-3-24>', 'arima', 59.174631093279444]
['W3-3B-7<W3-3-24>', 'ffnn', 1.4841701447878293]
['EC-3A<EC-3-01>', 'arima', 13.574812880801822]
